date,description,amount,type
2023-01-05,Salary Deposit,10000,credit
2023-01-10,ATM Withdrawal,-500,debit
2023-01-15,Supermarket Purchase,-250,debit
2023-01-20,Cafe Visit,-75,debit
2023-01-25,Restaurant Dinner,-120,debit
2023-02-05,Salary Deposit,10000,credit
2023-02-08,Utility Bill - STC,-200,debit
2023-02-10,ATM Withdrawal,-600,debit
2023-02-15,Grocery Shopping,-300,debit
2023-02-18,Taxi Ride,-45,debit
2023-02-25,Transfer to Family,-1000,debit
2023-03-05,Salary Deposit,10000,credit
2023-03-08,Utility Bill - STC,-210,debit
2023-03-10,ATM Withdrawal,-400,debit
2023-03-15,Supermarket Purchase,-275,debit
2023-03-20,Cafe Visit,-85,debit
2023-03-25,Restaurant Dinner,-150,debit
2023-04-05,Salary Deposit,10000,credit
2023-04-08,Utility Bill - STC,-200,debit
2023-04-12,Grocery Shopping,-320,debit
2023-04-18,Taxi Ride,-50,debit
2023-04-22,Coffee Shop,-30,debit
2023-04-25,Transfer to Family,-1000,debit
2023-05-05,Salary Deposit,12000,credit
2023-05-08,Utility Bill - STC,-205,debit
2023-05-10,ATM Withdrawal,-700,debit
2023-05-15,Supermarket Purchase,-290,debit
2023-05-20,Cafe Visit,-90,debit
2023-05-25,Restaurant Dinner,-180,debit
2023-06-05,Salary Deposit,12000,credit
2023-06-08,Utility Bill - STC,-210,debit
2023-06-10,ATM Withdrawal,-500,debit
2023-06-15,Grocery Shopping,-350,debit
2023-06-18,Taxi Ride,-55,debit
2023-06-25,Transfer to Family,-1000,debit
